Block,Plot,humidity treatment,temperature treatment,line,column,Species,Population,sowing,,55,65,85,91,95,death 
d,2,S,T+,7,6,aa,1,26-Mar,,,,,,,
d,2,S,T+,9,8,aa,1,26-Mar,,,,,,,
d,2,S,T+,13,2,aa,1,26-Mar,,,,,,,
d,3,H,T++,1,4,aa,1,26-Mar,,,,,,,
d,3,H,T++,7,6,aa,1,26-Mar,,,,,,,
d,3,H,T++,9,8,aa,1,26-Mar,,,,,,,
d,3,H,T++,13,2,aa,1,26-Mar,,,,,,,
d,4,S,T,1,4,aa,1,26-Mar,,,,,,,
d,4,S,T,7,6,aa,1,26-Mar,,,,,,,
d,4,S,T,9,8,aa,1,26-Mar,,,,,,,
d,4,S,T,13,2,aa,1,26-Mar,,,,,,,
d,5,H,T+,1,4,aa,1,26-Mar,,,,,,,
d,5,H,T+,7,6,aa,1,26-Mar,,,,,,,
d,5,H,T+,9,8,aa,1,26-Mar,,,,,,,
d,5,H,T+,13,2,aa,1,26-Mar,,,,,,,
d,6,H,T,1,4,aa,1,26-Mar,,,,,,,
d,6,H,T,7,6,aa,1,26-Mar,,,,,,,
d,6,H,T,9,8,aa,1,26-Mar,,,,,,,
d,6,H,T,13,2,aa,1,26-Mar,,,,,,,
e,1,H,T+,1,4,aa,1,27/03/03,,,,,,,
e,1,H,T+,7,6,aa,1,27/03/03,,,,,,,
e,1,H,T+,9,8,aa,1,27/03/03,,,,,,,
e,1,H,T+,13,2,aa,1,27/03/03,,,,,,,
e,2,H,T,1,4,aa,1,27/03/03,,,,,,,
e,2,H,T,7,6,aa,1,27/03/03,,,,,,,
e,2,H,T,9,8,aa,1,27/03/03,,,,,,,
e,2,H,T,13,2,aa,1,27/03/03,,,,,,,
e,3,H,T++,1,4,aa,1,27/03/03,,,,,,,
e,3,H,T++,7,6,aa,1,27/03/03,,,,,,,
e,3,H,T++,9,8,aa,1,27/03/03,,,,,,,
e,3,H,T++,13,2,aa,1,27/03/03,,,,,,,
e,4,S,T++,1,4,aa,1,27/03/03,,,,,,,
e,4,S,T++,7,6,aa,1,27/03/03,,,,,,,
e,4,S,T++,9,8,aa,1,27/03/03,,,,,,,
e,4,S,T++,13,2,aa,1,27/03/03,,,,,,,
e,5,S,T+,1,4,aa,1,27/03/03,,,,,,,
e,5,S,T+,7,6,aa,1,27/03/03,,,,,,,
e,5,S,T+,9,8,aa,1,27/03/03,,,,,,,
e,5,S,T+,13,2,aa,1,27/03/03,,,,,,,
e,6,S,T,1,4,aa,1,27/03/03,,,,,,,
e,6,S,T,7,6,aa,1,27/03/03,,,,,,,
e,6,S,T,9,8,aa,1,27/03/03,,,,,,,
e,6,S,T,13,2,aa,1,27/03/03,,,,,,,
a,1,H,T+,3,5,aa,2,20/03/03,,,,,,,
a,1,H,T+,6,3,aa,2,20/03/03,,,,,,,
a,1,H,T+,9,3,aa,2,20/03/03,,,,,,,
a,1,H,T+,11,7,aa,2,20/03/03,,,,,,,
a,2,S,T++,3,5,aa,2,20/03/03,,,,,,,
a,2,S,T++,6,3,aa,2,20/03/03,,,,,,,
a,2,S,T++,9,3,aa,2,20/03/03,,,,,,,
a,2,S,T++,11,7,aa,2,20/03/03,,,,,,,
a,3,S,T,3,5,aa,2,20/03/03,,,,,,,
a,3,S,T,9,3,aa,2,20/03/03,,,,,,,
a,3,S,T,11,7,aa,2,20/03/03,,,,,,,
a,4,H,T++,3,5,aa,2,20/03/03,,,,,,,
a,4,H,T++,6,3,aa,2,20/03/03,,,,,,,
a,4,H,T++,9,3,aa,2,20/03/03,,,,,,,
a,4,H,T++,11,7,aa,2,20/03/03,,,,,,,
a,4,S,1,13,7,aa,2,20/3/03,,,,,,,
a,5,H,T,3,5,aa,2,20/03/03,,,,,,,
a,5,H,T,6,3,aa,2,20/03/03,,,,,,,
a,5,H,T,9,3,aa,2,20/03/03,,,,,,,
a,5,H,T,11,7,aa,2,20/03/03,,,,,,,
a,6,S,T+,3,5,aa,2,20/03/03,,,,,,,
a,6,S,T+,6,3,aa,2,20/03/03,,,,,,,
a,6,S,T+,9,3,aa,2,20/03/03,,,,,,,
a,6,S,T+,11,7,aa,2,20/03/03,,,,,,,
b,1,H,T,3,5,aa,2,21/03/03,,,,,,,
b,1,H,T,6,3,aa,2,21/03/03,,,,,,,
b,1,H,T,9,3,aa,2,21/03/03,,,,,,,
b,1,H,T,11,7,aa,2,21/03/03,,,,,,,
b,2,S,T+,3,5,aa,2,21/03/03,,,,,,,
b,2,S,T+,6,3,aa,2,21/03/03,,,,,,,
b,2,S,T+,9,3,aa,2,21/03/03,,,,,,,
b,2,S,T+,11,7,aa,2,21/03/03,,,,,,,
b,3,S,T++,3,5,aa,2,21/03/03,,,,,,,
b,3,S,T++,6,3,aa,2,21/03/03,,,,,,,
b,3,S,T++,9,3,aa,2,21/03/03,,,,,,,
b,3,S,T++,11,7,aa,2,21/03/03,,,,,,,
b,4,H,T+,3,5,aa,2,21/03/03,,,,,,,
b,4,H,T+,6,3,aa,2,21/03/03,,,,,,,
b,4,H,T+,9,3,aa,2,21/03/03,,,,,,,
b,4,H,T+,11,7,aa,2,21/03/03,,,,,,,
b,5,S,T,3,5,aa,2,21/03/03,,,,,,,
b,5,S,T,6,3,aa,2,21/03/03,,,,,,,
b,5,S,T,9,3,aa,2,21/03/03,,,,,,,
b,5,S,T,11,7,aa,2,21/03/03,,,,,,,
b,6,H,T++,6,3,aa,2,21/03/03,18-Nov,,,,,,
b,6,H,T++,7,6,aa,2,21/03/03,,,,,,,
b,6,H,T++,9,3,aa,2,21/03/03,,,,,,,
b,6,H,T++,11,7,aa,2,21/03/03,,,,,,,
c,1,S,T,3,5,aa,2,25-Mar-03,,,,,,,
c,1,S,T,6,3,aa,2,25-Mar-03,,,,,,,
c,1,S,T,9,3,aa,2,25-Mar-03,,,,,,,
c,1,S,T,11,7,aa,2,25-Mar-03,,,,,,,
c,2,H,T++,3,5,aa,2,25-Mar-03,,,,,,,
c,2,H,T++,6,3,aa,2,25-Mar-03,,,,,,,
c,2,H,T++,9,3,aa,2,25-Mar-03,,,,,,,
c,2,H,T++,11,7,aa,2,25-Mar-03,,,,,,,
c,3,H,T,3,5,aa,2,25-Mar-03,,,,,,,
c,3,H,T,6,3,aa,2,25-Mar-03,,,,,,,
c,3,H,T,9,3,aa,2,25-Mar-03,,,,,,,
c,3,H,T,11,7,aa,2,25-Mar-03,,,,,,,
c,4,S,T++,3,5,aa,2,25-Mar-03,,,,,,,
c,4,S,T++,6,3,aa,2,25-Mar-03,,,,,,,
c,4,S,T++,9,3,aa,2,25-Mar-03,,,,,,,
c,4,S,T++,11,7,aa,2,25-Mar-03,,,,,,,
c,5,H,T+,3,5,aa,2,25-Mar-03,,,,,,,
c,5,H,T+,6,3,aa,2,25-Mar-03,,,,,,,
c,5,H,T+,9,3,aa,2,25-Mar-03,,,,,,,
c,5,H,T+,11,7,aa,2,25-Mar-03,,,,,,,
c,6,S,T+,3,5,aa,2,25-Mar-03,,,,,,,
c,6,S,T+,6,3,aa,2,25-Mar-03,,,,,,,
c,6,S,T+,9,3,aa,2,25-Mar-03,,,,,,,
c,6,S,T+,11,7,aa,2,25-Mar-03,,,,,,,
d,1,S,T++,3,5,aa,2,26-Mar,,,,,,,
d,1,S,T++,6,3,aa,2,26-Mar,,,,,,,
d,1,S,T++,9,3,aa,2,26-Mar,,,,,,,
d,1,S,T++,11,7,aa,2,26-Mar,,,,,,,
d,2,S,T+,3,5,aa,2,26-Mar,,,,,,,
d,2,S,T+,6,3,aa,2,26-Mar,26-Nov,,,,,,
d,2,S,T+,9,3,aa,2,26-Mar,,,,,,,
d,2,S,T+,11,7,aa,2,26-Mar,,,,,,,
d,3,H,T++,3,5,aa,2,26-Mar,,,,,,,
d,3,H,T++,6,3,aa,2,26-Mar,,,,,,,
d,3,H,T++,9,3,aa,2,26-Mar,,,,,,,
d,3,H,T++,11,7,aa,2,26-Mar,,,,,,,
d,4,S,T,3,5,aa,2,26-Mar,,,,,,,
d,4,S,T,6,3,aa,2,26-Mar,,,,,,,
d,4,S,T,9,3,aa,2,26-Mar,,,,,,,
d,4,S,T,11,7,aa,2,26-Mar,,,,,,,
d,5,H,T+,3,5,aa,2,26-Mar,3-Feb,,,,,,
d,5,H,T+,6,3,aa,2,26-Mar,,,,,,,
d,5,H,T+,9,3,aa,2,26-Mar,,,,,,,
d,5,H,T+,11,7,aa,2,26-Mar,,,,,,,
d,6,H,T,3,5,aa,2,26-Mar,,,,,,,
d,6,H,T,6,3,aa,2,26-Mar,,,,,,,
d,6,H,T,9,3,aa,2,26-Mar,,,,,,,
d,6,H,T,11,7,aa,2,26-Mar,,,,,,,
e,1,H,T+,3,5,aa,2,27/03/03,,,,,,,
e,1,H,T+,6,3,aa,2,27/03/03,,,,,,,
e,1,H,T+,9,3,aa,2,27/03/03,,,,,,,
e,1,H,T+,11,7,aa,2,27/03/03,,,,,,,
e,2,H,T,3,5,aa,2,27/03/03,,,,,,,
e,2,H,T,6,3,aa,2,27/03/03,,,,,,,
e,2,H,T,9,3,aa,2,27/03/03,,,,,,,
e,2,H,T,11,7,aa,2,27/03/03,,,,,,,
e,3,H,T++,3,5,aa,2,27/03/03,,,,,,,
e,3,H,T++,6,3,aa,2,27/03/03,,,,,,,
e,3,H,T++,9,3,aa,2,27/03/03,,,,,,,
e,3,H,T++,11,7,aa,2,27/03/03,,,,,,,
e,4,S,T++,3,5,aa,2,27/03/03,,,,,,,
e,4,S,T++,6,3,aa,2,27/03/03,,,,,,,
e,4,S,T++,9,3,aa,2,27/03/03,,,,,,,
e,4,S,T++,11,7,aa,2,27/03/03,,,,,,,
e,5,S,T+,3,5,aa,2,27/03/03,,,,,,,
e,5,S,T+,6,3,aa,2,27/03/03,,,,,,,
e,5,S,T+,9,3,aa,2,27/03/03,,,,,,,
e,5,S,T+,11,7,aa,2,27/03/03,,,,,,,
e,6,S,T,3,5,aa,2,27/03/03,,,,,,,
e,6,S,T,6,3,aa,2,27/03/03,18-Nov,,,,,,
e,6,S,T,9,3,aa,2,27/03/03,,,,,,,
e,6,S,T,11,7,aa,2,27/03/03,,,,,,,
a,1,H,T+,4,1,aa,3,20/03/03,,,,,,,
a,1,H,T+,4,7,aa,3,20/03/03,,,,,,,
a,1,H,T+,13,4,aa,3,20/03/03,,,,,,,
a,1,H,T+,13,6,aa,3,20/03/03,,,,,,,
a,2,S,T++,4,1,aa,3,20/03/03,,,,,,,
a,2,S,T++,4,7,aa,3,20/03/03,,,,,,,
a,2,S,T++,13,4,aa,3,20/03/03,,,,,,,
a,2,S,T++,13,6,aa,3,20/03/03,,,,,,,
a,3,S,T,1,6,aa,3,29/10/02,,,,,,,
a,3,S,T,4,1,aa,3,20/03/03,,,,,,,
a,3,S,T,13,4,aa,3,20/03/03,,,,,,,
a,3,S,T,13,6,aa,3,20/03/03,,,,,,,
a,4,H,T++,4,1,aa,3,20/03/03,,,,,,,
a,4,H,T++,4,7,aa,3,20/03/03,,,,,,,
a,4,H,T++,13,4,aa,3,20/03/03,,,,,,,
a,4,H,T++,13,6,aa,3,20/03/03,,,,,,,
a,5,H,T,4,1,aa,3,20/03/03,,,,,,,
a,5,H,T,4,7,aa,3,20/03/03,,,,,,,
a,5,H,T,13,4,aa,3,20/03/03,,,,,,,
a,5,H,T,13,6,aa,3,20/03/03,,,,,,,
a,6,S,T+,4,1,aa,3,20/03/03,,,,,,,
a,6,S,T+,4,7,aa,3,20/03/03,,,,,,,
a,6,S,T+,13,4,aa,3,20/03/03,,,,,,,
a,6,S,T+,13,6,aa,3,20/03/03,,,,,,,
b,1,H,T,4,1,aa,3,21/03/03,,,,,,,
b,1,H,T,4,7,aa,3,21/03/03,,,,,,,
b,1,H,T,13,4,aa,3,21/03/03,,,,,,,
b,1,H,T,13,6,aa,3,21/03/03,,,,,,,
b,2,S,T+,4,1,aa,3,21/03/03,,,,,,,
b,2,S,T+,4,7,aa,3,21/03/03,,,,,,,
b,2,S,T+,13,4,aa,3,21/03/03,,,,,,,
b,2,S,T+,13,6,aa,3,21/03/03,,,,,,,
b,3,S,T++,4,1,aa,3,21/03/03,,,,,,,
b,3,S,T++,4,7,aa,3,21/03/03,,,,,,,
b,3,S,T++,13,4,aa,3,21/03/03,,,,,,,
b,3,S,T++,13,6,aa,3,21/03/03,,,,,,,
b,4,H,T+,4,1,aa,3,21/03/03,,,,,,,
b,4,H,T+,4,7,aa,3,21/03/03,,,,,,,
b,4,H,T+,13,4,aa,3,21/03/03,,,,,,,
b,4,H,T+,13,6,aa,3,21/03/03,,,,,,,
b,5,S,T,4,1,aa,3,21/03/03,,,,,,,
b,5,S,T,4,7,aa,3,21/03/03,,,,,,,
b,5,S,T,13,4,aa,3,21/03/03,,,,,,,
b,5,S,T,13,6,aa,3,21/03/03,,,,,,,
b,6,H,T++,4,1,aa,3,21/03/03,,,,,,,
b,6,H,T++,4,7,aa,3,21/03/03,,,,,,,
b,6,H,T++,13,4,aa,3,21/03/03,,,,,,,
b,6,H,T++,13,6,aa,3,21/03/03,,,,,,,
c,1,S,T,4,1,aa,3,25-Mar-03,,,,,,,
c,1,S,T,4,7,aa,3,25-Mar-03,,,,,,,
c,1,S,T,13,4,aa,3,25-Mar-03,,,,,,,
c,1,S,T,13,6,aa,3,25-Mar-03,,,,,,,
c,2,H,T++,4,1,aa,3,25-Mar-03,,,,,,,
c,2,H,T++,4,7,aa,3,25-Mar-03,,,,,,,
c,2,H,T++,13,4,aa,3,25-Mar-03,,,,,,,
c,2,H,T++,13,6,aa,3,25-Mar-03,,,,,,,
c,3,H,T,4,1,aa,3,25-Mar-03,,,,,,,
c,3,H,T,4,7,aa,3,25-Mar-03,,,,,,,
c,3,H,T,13,4,aa,3,25-Mar-03,,,,,,,
c,3,H,T,13,6,aa,3,25-Mar-03,,,,,,,
c,4,S,T++,4,1,aa,3,25-Mar-03,,,,,,,
c,4,S,T++,4,7,aa,3,25-Mar-03,,,,,,,
c,4,S,T++,13,4,aa,3,25-Mar-03,,,,,,,
c,4,S,T++,13,6,aa,3,25-Mar-03,,,,,,,
c,5,H,T+,4,1,aa,3,25-Mar-03,,,,,,,
c,5,H,T+,4,7,aa,3,25-Mar-03,,,,,,,
c,5,H,T+,13,4,aa,3,25-Mar-03,,,,,,,
c,5,H,T+,13,6,aa,3,25-Mar-03,,,,,,,
c,6,S,T+,4,1,aa,3,25-Mar-03,,,,,,,
c,6,S,T+,4,7,aa,3,25-Mar-03,,,,,,,
c,6,S,T+,13,4,aa,3,25-Mar-03,,,,,,,
c,6,S,T+,13,6,aa,3,25-Mar-03,,,,,,,
d,1,S,T++,4,1,aa,3,26-Mar,,,,,,,
d,1,S,T++,4,7,aa,3,26-Mar,,,,,,,
d,1,S,T++,13,4,aa,3,26-Mar,18-Nov,,,,,,
d,1,S,T++,13,6,aa,3,26-Mar,,,,,,,
d,2,S,T+,4,1,aa,3,26-Mar,,,,,,,
d,2,S,T+,4,7,aa,3,26-Mar,,,,,,,
d,2,S,T+,13,4,aa,3,26-Mar,,,,,,,
d,2,S,T+,13,6,aa,3,26-Mar,,,,,,,
d,3,H,T++,4,1,aa,3,26-Mar,,,,,,,
d,3,H,T++,4,7,aa,3,26-Mar,,,,,,,
d,3,H,T++,13,4,aa,3,26-Mar,,,,,,,
d,3,H,T++,13,6,aa,3,26-Mar,,,,,,,
d,4,S,T,4,1,aa,3,26-Mar,,,,,,,
d,4,S,T,4,7,aa,3,26-Mar,,,,,,,
d,4,S,T,13,4,aa,3,26-Mar,,,,,,,
d,4,S,T,13,6,aa,3,26-Mar,,,,,,,
d,5,H,T+,4,1,aa,3,26-Mar,,,,,,,
d,5,H,T+,4,7,aa,3,26-Mar,,,,,,,
d,5,H,T+,13,4,aa,3,26-Mar,,,,,,,
d,5,H,T+,13,6,aa,3,26-Mar,,,,,,,
d,6,H,T,4,1,aa,3,26-Mar,,,,,,,
d,6,H,T,4,7,aa,3,26-Mar,,,,,,,
d,6,H,T,13,4,aa,3,26-Mar,,,,,,,
d,6,H,T,13,6,aa,3,26-Mar,,,,,,,
e,1,H,T+,4,1,aa,3,27/03/03,,,,,,,
e,1,H,T+,4,7,aa,3,27/03/03,,,,,,,
e,1,H,T+,13,4,aa,3,27/03/03,,,,,,,
e,1,H,T+,13,6,aa,3,27/03/03,,,,,,,
e,2,H,T,4,1,aa,3,27/03/03,,,,,,,
e,2,H,T,4,7,aa,3,27/03/03,,,,,,,
e,2,H,T,13,4,aa,3,27/03/03,,,,,,,
e,2,H,T,13,6,aa,3,27/03/03,,,,,,,
e,3,H,T++,4,1,aa,3,27/03/03,,,,,,,
e,3,H,T++,4,7,aa,3,27/03/03,,,,,,,
e,3,H,T++,13,4,aa,3,27/03/03,,,,,,,
e,3,H,T++,13,6,aa,3,27/03/03,,,,,,,
e,4,S,T++,4,1,aa,3,27/03/03,,,,,,,
e,4,S,T++,4,7,aa,3,27/03/03,,,,,,,
e,4,S,T++,13,4,aa,3,27/03/03,,,,,,,
e,4,S,T++,13,6,aa,3,27/03/03,,,,,,,
e,5,S,T+,4,1,aa,3,27/03/03,,,,,,,
e,5,S,T+,4,7,aa,3,27/03/03,,,,,,,
e,5,S,T+,13,4,aa,3,27/03/03,,,,,,,
e,5,S,T+,13,6,aa,3,27/03/03,,,,,,,
e,6,S,T,4,1,aa,3,27/03/03,,,,,,,
e,6,S,T,4,7,aa,3,27/03/03,,,,,,,
e,6,S,T,13,4,aa,3,27/03/03,,,,,,,
e,6,S,T,13,6,aa,3,27/03/03,,,,,,,
a,1,H,T+,1,5,ad,1,20/03/03,,,,,,,
a,1,H,T+,7,4,ad,1,20/03/03,,,,,,,
a,1,H,T+,9,2,ad,1,20/03/03,,,,,,,
a,1,H,T+,15,7,ad,1,20/03/03,,,,,,,
a,2,S,T++,1,5,ad,1,20/03/03,,,,,,,
a,2,S,T++,7,4,ad,1,20/03/03,,,,,,,
a,2,S,T++,9,2,ad,1,20/03/03,20/3?,13-May,,,,,
a,2,S,T++,15,7,ad,1,20/03/03,,,,,,,
a,3,S,T,1,5,ad,1,20/03/03,,,,,,,
a,3,S,T,7,4,ad,1,20/03/03,,,,,,,
a,3,S,T,9,2,ad,1,20/03/03,,,,,,,
a,3,S,T,15,7,ad,1,20/03/03,,,,,,,
a,4,H,T++,1,5,ad,1,20/03/03,,,,,,,
a,4,H,T++,7,4,ad,1,20/03/03,18/03?,,,,,,
a,4,H,T++,9,2,ad,1,20/03/03,,,,,,,
a,4,H,T++,15,7,ad,1,20/03/03,,,,,,,
a,5,H,T,1,5,ad,1,20/03/03,,,,,,,
a,5,H,T,7,4,ad,1,20/03/03,,,,,,,
a,5,H,T,9,2,ad,1,20/03/03,,,,,,,
a,5,H,T,15,7,ad,1,20/03/03,,,,,,,
a,6,S,T+,1,5,ad,1,20/03/03,,,,,,,
a,6,S,T+,7,4,ad,1,20/03/03,,,,,,,
a,6,S,T+,9,2,ad,1,20/03/03,,,,,,,
a,6,S,T+,15,7,ad,1,20/03/03,,,,,,,
b,1,H,T,1,5,ad,1,21/03/03,,,,,,,
b,1,H,T,7,4,ad,1,21/03/03,,,,,,,
b,1,H,T,9,2,ad,1,21/03/03,,,,,,,
b,1,H,T,15,7,ad,1,21/03/03,,,,,,,
b,2,S,T+,1,5,ad,1,21/03/03,,,,,,,
b,2,S,T+,7,4,ad,1,21/03/03,1/04?,,,,,,
b,2,S,T+,9,2,ad,1,21/03/03,,,,,,,
b,2,S,T+,15,7,ad,1,21/03/03,,,,,,,
b,3,S,T++,1,5,ad,1,21/03/03,,,,,,,
b,3,S,T++,7,4,ad,1,21/03/03,,,,,,,
b,3,S,T++,9,2,ad,1,21/03/03,,,,,,,
b,3,S,T++,15,7,ad,1,21/03/03,,,,,,,
b,4,H,T+,1,5,ad,1,21/03/03,,,,,,,
b,4,H,T+,7,4,ad,1,21/03/03,,,,,,,
b,4,H,T+,9,2,ad,1,21/03/03,,,,,,,
b,4,H,T+,15,7,ad,1,21/03/03,,,,,,,
b,5,S,T,1,5,ad,1,21/03/03,,,,,,,
b,5,S,T,7,4,ad,1,21/03/03,,,,,,,
b,5,S,T,9,2,ad,1,21/03/03,,,,,,,
b,5,S,T,15,7,ad,1,21/03/03,,14-Jul,,,,,
b,6,H,T++,1,5,ad,1,21/03/03,,,,,,,
b,6,H,T++,7,4,ad,1,21/03/03,,,,,,,
b,6,H,T++,9,2,ad,1,21/03/03,,,,,,,
b,6,H,T++,15,7,ad,1,21/03/03,,,,,,,
c,1,S,T,1,5,ad,1,25-Mar-03,,,,,,,
c,1,S,T,7,4,ad,1,25-Mar-03,,,,,,,
c,1,S,T,9,2,ad,1,25-Mar-03,,,,,,,
c,1,S,T,15,7,ad,1,25-Mar-03,,,,,,,
c,2,H,T++,1,5,ad,1,25-Mar-03,,,,,,,
c,2,H,T++,7,4,ad,1,25-Mar-03,,,,,,,
c,2,H,T++,9,2,ad,1,25-Mar-03,,,,,,,
c,2,H,T++,15,7,ad,1,25-Mar-03,21/03?,,,,,,
c,3,H,T,1,5,ad,1,25-Mar-03,,25-Jun,,,,,
c,3,H,T,7,4,ad,1,25-Mar-03,,,,,,,
c,3,H,T,9,2,ad,1,25-Mar-03,,,,,,,
c,3,H,T,15,7,ad,1,25-Mar-03,,,,,,,
c,4,S,T++,1,5,ad,1,25-Mar-03,,,,,,,
c,4,S,T++,7,4,ad,1,25-Mar-03,,16-May,,,,,
c,4,S,T++,9,2,ad,1,25-Mar-03,21/03?,,,,,,
c,4,S,T++,15,7,ad,1,25-Mar-03,,,,,,,
c,5,H,T+,1,5,ad,1,25-Mar-03,,,,,,,
c,5,H,T+,7,4,ad,1,25-Mar-03,,,,,,,
c,5,H,T+,9,2,ad,1,25-Mar-03,,,,,,,
c,5,H,T+,15,7,ad,1,25-Mar-03,,,,,,,
c,6,S,T+,1,5,ad,1,25-Mar-03,,26-May,,,,,
c,6,S,T+,7,4,ad,1,25-Mar-03,,,,,,,
c,6,S,T+,9,2,ad,1,25-Mar-03,,,,,,,
c,6,S,T+,15,7,ad,1,25-Mar-03,,,,,,,
d,1,S,T++,1,5,ad,1,26-Mar,,,,,,,
d,1,S,T++,7,4,ad,1,26-Mar,24/03?,,,,,,
d,1,S,T++,9,2,ad,1,26-Mar,,,,,,,
d,1,S,T++,15,7,ad,1,26-Mar,,,,,,,
d,2,S,T+,1,5,ad,1,26-Mar,,,,,,,
d,2,S,T+,7,4,ad,1,26-Mar,,,,,,,
d,2,S,T+,9,2,ad,1,26-Mar,,,,,,,
d,2,S,T+,15,7,ad,1,26-Mar,24/03?,,,,,,
d,3,H,T++,1,5,ad,1,26-Mar,24/03?,29-May,,,,,
d,3,H,T++,7,4,ad,1,26-Mar,,,,,,,
d,3,H,T++,9,2,ad,1,26-Mar,,,,,,,
d,3,H,T++,15,7,ad,1,26-Mar,,,,,,,
d,4,S,T,1,5,ad,1,26-Mar,,,,,,,
d,4,S,T,7,4,ad,1,26-Mar,,,,,,,
